Restaurant,Location,Cuisines,Cuisines0,Cuisines1,Cuisines2,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Delivery_Time
ID_7370,"D-Block, Sector 63, Noida","North Indian, Chinese",North,Indian,Chinese,250,99,,,,30
ID_2865,"Nathan Road, Mangaldas Road, Pune","North Indian, Continental, Italian",North,Indian,Continental,600,0,4.3,417,247,30
ID_6604,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Chinese, Fast Food, Afghan",North,Indian,Chinese,250,50,3.5,56,32,30
ID_3063,"Noorkhan Bazaar, Malakpet, Hyderabad",Hyderabadi,Hyderabadi,,,350,50,3.2,7,3,30
ID_5585,Mumbai Central,"North Indian, Mughlai, Chinese, Seafood",North,Indian,Mughlai,600,50,3.9,270,139,30
ID_2096,"D-Block, Sector 63, Noida","Chinese, North Indian, South Indian",Chinese,North,Indian,250,50,3.9,913,181,45
ID_8606,"Sandhurst Road, Mumbai CST Area","South Indian, Beverages",South,Indian,Beverages,250,50,3.2,14,13,30
ID_5975,"FTI College, Law College Road, Pune","North Indian, Chinese",North,Indian,Chinese,150,50,2.9,5,1,30
ID_1094,"D-Block, Sector 63, Noida",North Indian,North,Indian,,150,50,3.1,5,,30
ID_6950,"Rmz Centennial, I Gate, Whitefield","Desserts, Ice Cream, Beverages",Desserts,Ice,Cream,150,50,,,,30
ID_4593,"Sandhurst Road, Mumbai CST Area","Chinese, Mughlai, North Indian, Seafood, Biryani",Chinese,Mughlai,North,200,50,3.8,426,196,45
ID_4218,Mumbai Central,"North Indian, Continental, Chinese, Italian, Mexican",North,Indian,Continental,600,50,3.9,544,195,45
ID_1540,"Babarpur, New Delhi, Delhi","North Indian, Street Food, Fast Food, Chinese",North,Indian,Street,200,50,3.1,20,11,30
ID_4985,"Babarpur, New Delhi, Delhi",North Indian,North,Indian,,200,0,,,,30
ID_8053,"Rmz Centennial, I Gate, Whitefield",Cafe,Cafe,,,300,99,4.2,1143,584,30
ID_3505,"D-Block, Sector 63, Noida","Rolls, Fast Food",Rolls,Fast,Food,100,50,3.3,11,1,30
ID_2301,Pune University,"Pizza, Fast Food",Pizza,Fast,Food,200,0,3.7,492,111,30
ID_3141,Mumbai Central,"Bakery, Cafe",Bakery,Cafe,,200,50,3.6,289,113,45
ID_4074,"D-Block, Sector 63, Noida","North Indian, Chinese, Continental",North,Indian,Chinese,600,50,4.2,53,45,30
ID_7213,"Babarpur, New Delhi, Delhi","Chinese, Fast Food",Chinese,Fast,Food,150,50,NEW,,,30
ID_3488,"Sector 63A,Gurgaon","Burger, Sandwich, Wraps",Burger,Sandwich,Wraps,150,50,NEW,,,30
ID_4099,"Sandhurst Road, Mumbai CST Area","Continental, Fast Food, Beverages",Continental,Fast,Food,600,50,3.8,644,341,30
ID_7780,"Tejas Nagar Colony, Wadala West, Mumbai","Maharashtrian, Beverages",Maharashtrian,Beverages,,50,50,4,264,168,30
ID_7972,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Beverages, Fast Food",Beverages,Fast,Food,150,50,NEW,,,30
ID_1514,Delhi University-GTB Nagar,Street Food,Street,Food,,50,50,3.6,55,11,45
ID_978,"D-Block, Sector 63, Noida","Pizza, Fast Food, Beverages",Pizza,Fast,Food,250,50,3.3,10,4,30
ID_755,"Sandhurst Road, Mumbai CST Area","Desserts, Fast Food",Desserts,Fast,Food,150,50,3.6,109,56,30
ID_1454,"Delhi High Court, India Gate","Cafe, Fast Food, Beverages, Desserts, Tea",Cafe,Fast,Food,200,99,4.1,1261,977,45
ID_4196,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Mughlai, Chinese",North,Indian,Mughlai,200,50,3.7,276,125,30
ID_2281,Mumbai Central,Chinese,Chinese,,,100,50,4,62,41,30
ID_2481,Delhi University-GTB Nagar,"North Indian, Chinese, South Indian",North,Indian,Chinese,200,99,,,,45
ID_4086,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Mithai, Chinese",Mithai,Chinese,,150,50,3.2,7,3,30
ID_6847,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Chinese",North,Indian,Chinese,200,50,3.5,151,45,45
ID_7247,"Mico Layout, Stage 2, BTM Layout,Bangalore","Maharashtrian, Seafood",Maharashtrian,Seafood,,300,50,3.9,46,25,30
ID_7641,"Rmz Centennial, I Gate, Whitefield",Chinese,Chinese,,,150,50,3.2,5,4,30
ID_5945,Delhi University-GTB Nagar,"Chinese, North Indian, Fast Food, Momos, Beverages",Chinese,North,Indian,400,99,4,4207,2167,45
ID_8210,"Sector 1, Noida","North Indian, European, Asian, Mediterranean",North,Indian,European,850,50,4.2,1515,1067,45
ID_544,"MG Road, Pune","Chinese, Maharashtrian, North Indian, Hyderabadi",Chinese,Maharashtrian,North,650,50,3.2,13,4,30
ID_1358,"Sector 1, Noida",Bakery,Bakery,,,250,99,2.9,11,2,65
ID_7508,"D-Block, Sector 63, Noida","North Indian, Chinese",North,Indian,Chinese,200,50,3.5,42,2,45
ID_2039,"Gora Bazar, Rajbari, North Dumdum, Kolkata","North Indian, South Indian, Chinese, Seafood",North,Indian,South,350,99,4.4,1155,566,65
ID_1281,"FTI College, Law College Road, Pune","Cafe, Fast Food, Pizza",Cafe,Fast,Food,200,50,3.6,195,90,45
ID_5169,Delhi Cantt.,"North Indian, South Indian, Chinese, Fast Food",North,Indian,South,300,50,3.7,431,212,45
ID_1956,Delhi Cantt.,"North Indian, Mughlai, Chinese",North,Indian,Mughlai,250,50,4.5,462,246,45
ID_1893,"Raja Bazar, Kolkata","Desserts, Bakery, Fast Food",Desserts,Bakery,Fast,100,50,3.7,29,16,30
ID_6737,"MG Road, Pune","North Indian, Street Food",North,Indian,Street,50,50,,,,30
ID_4797,"FTI College, Law College Road, Pune","Pizza, Italian, Desserts, Beverages",Pizza,Italian,Desserts,250,50,4.1,198,69,30
ID_1156,Mumbai Central,"Burger, Fast Food, Desserts, Beverages",Burger,Fast,Food,150,50,,,,30
ID_7123,"Sector 14, Noida","Bakery, Desserts, Fast Food",Bakery,Desserts,Fast,200,50,3.7,25,14,30
ID_7855,"D-Block, Sector 63, Noida",Beverages,Beverages,,,100,50,,,,30
ID_1300,"Sector 3, Marathalli","Street Food, Beverages",Street,Food,Beverages,200,50,,,,30
ID_6971,Pune University,"South Indian, North Indian",South,Indian,North,100,50,3.9,87,51,45
ID_142,"FTI College, Law College Road, Pune",Burger,Burger,,,100,50,4.1,614,222,45
ID_8634,"Sandhurst Road, Mumbai CST Area","Mughlai, Seafood, Chinese, North Indian",Mughlai,Seafood,Chinese,200,50,3.6,172,63,30
ID_4551,"Sandhurst Road, Mumbai CST Area","Pizza, Chinese, Healthy Food",Pizza,Chinese,Healthy,300,50,3.8,577,277,30
ID_6975,"FTI College, Law College Road, Pune",South Indian,South,Indian,,150,50,3.7,207,97,45
ID_8479,Pune University,Chinese,Chinese,,,200,50,3.4,70,36,45
ID_243,Mumbai Central,Fast Food,Fast,Food,,200,50,3.6,29,11,30
ID_6136,"D-Block, Sector 63, Noida","North Indian, Biryani",North,Indian,Biryani,250,50,3.1,4,3,30
ID_5839,"Mico Layout, Stage 2, BTM Layout,Bangalore","Beverages, Juices",Beverages,Juices,,100,50,3.5,91,13,45
ID_1226,"FTI College, Law College Road, Pune","Cafe, Fast Food",Cafe,Fast,Food,200,50,4.2,569,291,30
ID_4155,"FTI College, Law College Road, Pune",Street Food,Street,Food,,100,50,3,4,,30
ID_8621,"Sector 1, Noida",Rolls,Rolls,,,100,50,2.9,58,27,30
ID_5708,"Nathan Road, Mangaldas Road, Pune","Pizza, Fast Food, Italian",Pizza,Fast,Food,400,50,3.6,473,306,45
ID_3367,"MG Road, Pune",North Indian,North,Indian,,200,50,3.6,26,7,30
ID_8435,"Mico Layout, Stage 2, BTM Layout,Bangalore","Bakery, Desserts",Bakery,Desserts,,200,50,4.1,61,22,65
ID_6335,"FTI College, Law College Road, Pune","Fast Food, Street Food",Fast,Food,Street,100,50,3.1,5,,30
ID_4180,"D-Block, Sector 63, Noida",North Indian,North,Indian,,150,50,NEW,,,30
ID_4186,"Delhi Administration Flats, Timarpur","North Indian, Chinese, Fast Food",North,Indian,Chinese,200,50,3.7,166,48,30
ID_714,"FTI College, Law College Road, Pune","North Indian, Mughlai",North,Indian,Mughlai,200,50,3.8,,,45
ID_1254,"Nathan Road, Mangaldas Road, Pune","Italian, Desserts, Continental",Italian,Desserts,Continental,200,50,3.3,12,9,45
ID_5423,"Mico Layout, Stage 2, BTM Layout,Bangalore","Desserts, Ice Cream",Desserts,Ice,Cream,200,50,,,,30
ID_1144,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Fast Food, Burger",Fast,Food,Burger,150,50,4,164,57,45
ID_2280,"Sector 1, Noida","Fast Food, Chinese",Fast,Food,Chinese,100,50,3.2,12,3,30
ID_6181,"FTI College, Law College Road, Pune",Rolls,Rolls,,,100,50,3.2,7,1,30
ID_4596,"Mico Layout, Stage 2, BTM Layout,Bangalore","Arabian, Mediterranean, North Indian",Arabian,Mediterranean,North,200,50,2.9,34,25,30
ID_8633,Mumbai Central,"Mughlai, Chinese, North Indian, Fast Food",Mughlai,Chinese,North,200,50,3.4,33,12,45
ID_3256,Delhi Cantt.,Chinese,Chinese,,,200,50,3.8,76,34,30
ID_2487,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Ice Cream, Beverages",Ice,Cream,Beverages,100,50,NEW,,,30
ID_3804,Majestic,Healthy Food,Healthy,Food,,50,50,3.6,12,5,30
ID_4546,Majestic,South Indian,South,Indian,,100,50,4.4,272,70,45
ID_4604,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Bakery, Desserts",Bakery,Desserts,,100,50,3.2,6,,30
ID_3577,"Mico Layout, Stage 2, BTM Layout,Bangalore","Momos, Rolls",Momos,Rolls,,100,50,,,,30
ID_3868,Delhi University-GTB Nagar,Rolls,Rolls,,,100,50,,,,30
ID_4759,"FTI College, Law College Road, Pune",Street Food,Street,Food,,100,50,3.2,49,23,65
ID_3541,"Sandhurst Road, Mumbai CST Area","Desserts, Ice Cream, Beverages",Desserts,Ice,Cream,150,50,3.8,100,13,45
ID_521,"FTI College, Law College Road, Pune",North Indian,North,Indian,,100,50,3.7,181,40,45
ID_1140,Mumbai Central,"Burger, Fast Food, Beverages",Burger,Fast,Food,200,99,3.7,1268,647,45
ID_2685,"Delhi Administration Flats, Timarpur","Cafe, Fast Food, North Indian, Italian",Cafe,Fast,Food,350,50,NEW,,,30
ID_8305,Delhi University-GTB Nagar,North Indian,North,Indian,,100,50,3.5,62,26,65
ID_1209,"Yerawada, Pune, Maharashtra","Cafe, Beverages, Sandwich, Fast Food",Cafe,Beverages,Sandwich,250,50,3.4,16,8,30
ID_4091,"Nathan Road, Mangaldas Road, Pune","Italian, North Indian, Continental",Italian,North,Indian,250,50,3.8,120,89,45
ID_1140,Pune University,"Burger, Fast Food, Beverages",Burger,Fast,Food,200,99,3.7,656,268,45
ID_847,"Delhi Administration Flats, Timarpur","Mithai, Street Food, South Indian, North Indian, Chinese, Bakery",Mithai,Street,Food,250,99,4,284,111,30
ID_4283,"Mico Layout, Stage 2, BTM Layout,Bangalore","Beverages, Fast Food",Beverages,Fast,Food,100,50,3.2,4,,30
ID_7534,"FTI College, Law College Road, Pune","Bakery, Desserts",Bakery,Desserts,,200,50,3.6,66,26,65
ID_5002,"Dockyard Road, Mumbai CST Area","Momos, Desserts",Momos,Desserts,,100,50,3.3,17,10,45
ID_3484,"Sector 1, Noida","Cafe, Italian, Chinese, Continental, Momos",Cafe,Italian,Chinese,250,0,3.8,617,424,45
ID_662,"Sector 3, Marathalli","North Indian, South Indian, Chinese, Fast Food",North,Indian,South,150,50,3.6,10,7,30
ID_1694,"MG Road, Pune",Chinese,Chinese,,,200,50,3.6,216,101,45
ID_860,"Gora Bazar, Rajbari, North Dumdum, Kolkata","South Indian, Chinese, Fast Food, Burger",South,Indian,Chinese,100,99,2.2,141,63,65
ID_6592,Delhi University-GTB Nagar,"Chinese, Thai, Tibetan, Japanese, Momos",Chinese,Thai,Tibetan,350,99,4.1,940,421,45
ID_6056,"Dockyard Road, Mumbai CST Area","Seafood, North Indian, Chinese, Mughlai, Biryani",Seafood,North,Indian,350,99,3.7,115,55,45
ID_3828,"Chandni Chowk, Kolkata","South Indian, Desserts",South,Indian,Desserts,100,50,3.5,163,80,45
ID_7183,"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, South Indian, Street Food, Chinese",North,Indian,South,100,50,3.7,32,17,30
ID_3134,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Fast Food,Fast,Food,,100,50,3.6,49,31,45
ID_5159,"Sandhurst Road, Mumbai CST Area","North Indian, Chinese, Mughlai",North,Indian,Chinese,350,50,3.8,186,61,30
ID_1749,"Sandhurst Road, Mumbai CST Area","Desserts, Beverages",Desserts,Beverages,,200,50,3,6,3,30
ID_7251,"Sandhurst Road, Mumbai CST Area","Japanese, Sushi",Japanese,Sushi,,500,50,3.7,206,93,65
ID_2301,"Delhi High Court, India Gate","Pizza, Fast Food",Pizza,Fast,Food,200,0,4,971,461,30
ID_7627,"Sector 1, Noida","North Indian, Chinese",North,Indian,Chinese,300,50,3.3,69,26,30
ID_1635,"Sector 14, Noida","Pizza, Fast Food",Pizza,Fast,Food,250,50,3.8,71,49,30
ID_6491,"MG Road, Pune","North Indian, Chinese, Mughlai",North,Indian,Chinese,450,50,3.3,23,10,30
ID_4664,"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Biryani, Sandwich, Rolls",North,Indian,Biryani,200,50,4.1,223,62,45
ID_5754,Pune University,"Pizza, Fast Food",Pizza,Fast,Food,200,50,3.3,86,48,45
ID_8451,"D-Block, Sector 63, Noida","Desserts, Beverages, Fast Food",Desserts,Beverages,Fast,150,50,4,171,117,30
ID_6934,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Chinese, North Indian",Chinese,North,Indian,200,50,3.5,34,10,65
ID_175,"Babarpur, New Delhi, Delhi","Cafe, Chinese",Cafe,Chinese,,150,99,3.7,251,68,45
ID_7800,"Yerawada, Pune, Maharashtra","Fast Food, Burger, Beverages",Fast,Food,Burger,250,50,3.9,242,108,65
ID_4907,"Sandhurst Road, Mumbai CST Area",Paan,Paan,,,100,50,3.3,14,3,45
ID_4981,Mumbai Central,"French, Bengali",French,Bengali,,850,50,4.2,512,237,30
ID_4923,"D-Block, Sector 63, Noida","North Indian, Mughlai, Chinese",North,Indian,Mughlai,200,50,,,,30
ID_7063,"Hyderabad Public School, Begumpet","South Indian, North Indian, Chinese",South,Indian,North,100,50,3.8,46,7,30
ID_2664,"Rmz Centennial, I Gate, Whitefield","North Indian, Chinese",North,Indian,Chinese,200,50,3,4,,45
ID_2895,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Chinese",North,Indian,Chinese,100,50,,,,30
ID_2751,"FTI College, Law College Road, Pune","Fast Food, Rolls",Fast,Food,Rolls,100,50,NEW,,,30
ID_3396,"Nathan Road, Mangaldas Road, Pune","North Indian, Chinese, Malwani, Mughlai",North,Indian,Chinese,200,50,3.2,8,7,30
ID_8339,"Rmz Centennial, I Gate, Whitefield","Mangalorean, North Indian, Chinese",Mangalorean,North,Indian,200,50,3.5,20,9,30
ID_7653,"Mico Layout, Stage 2, BTM Layout,Bangalore","Chinese, Thai, Seafood, North Indian, Momos",Chinese,Thai,Seafood,450,50,4.2,1101,600,45
ID_7452,"Delhi High Court, India Gate",North Indian,North,Indian,,300,50,3.8,246,133,45
ID_6196,Delhi Cantt.,"North Indian, Chinese, Rolls",North,Indian,Chinese,150,50,3.1,5,4,30
ID_1268,"FTI College, Law College Road, Pune","Fast Food, Pizza, Burger, Beverages",Fast,Food,Pizza,150,50,NEW,,,30
ID_1444,"MG Road, Pune",Street Food,Street,Food,,150,50,,,,30
ID_7813,"Mico Layout, Stage 2, BTM Layout,Bangalore",Kerala,Kerala,,,150,50,4,73,30,30
ID_8539,Delhi Cantt.,Fast Food,Fast,Food,,150,50,3.2,16,1,30
ID_3377,"FTI College, Law College Road, Pune","Fast Food, North Indian",Fast,Food,North,100,50,,,,30
ID_7251,Mumbai Central,"Japanese, Sushi",Japanese,Sushi,,500,50,3.7,206,93,65
ID_2907,Delhi University-GTB Nagar,"Desserts, Ice Cream, Beverages",Desserts,Ice,Cream,200,50,4.1,426,141,45
ID_4971,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Mithai",North,Indian,Mithai,100,50,,,,30
ID_1831,"D-Block, Sector 63, Noida","Cafe, Fast Food",Cafe,Fast,Food,200,50,4.1,77,53,30
ID_5228,Mumbai Central,"Continental, Italian, Mexican, North Indian",Continental,Italian,Mexican,450,50,3.7,1199,582,65
ID_6886,"Delhi High Court, India Gate",Bakery,Bakery,,,100,99,4.2,333,99,65
ID_1160,"Sector 14, Noida","Asian, Burmese, Bubble Tea, Desserts, Salad, Tea, Beverages, Ice Cream",Asian,Burmese,Bubble,600,50,4.7,914,499,45
ID_5321,"Chandni Chowk, Kolkata","Biryani, Hyderabadi, North Indian, Mughlai",Biryani,Hyderabadi,North,100,0,3.1,7,4,30
ID_1422,"Dockyard Road, Mumbai CST Area","Biryani, Chinese, Mughlai",Biryani,Chinese,Mughlai,200,50,3.6,27,7,30
ID_7617,Delhi University-GTB Nagar,"Bakery, Fast Food, Chinese",Bakery,Fast,Food,150,50,NEW,,,30
ID_674,Delhi Cantt.,Chinese,Chinese,,,100,50,3.7,64,8,30
ID_5682,"Sector 1, Noida","Pizza, Fast Food",Pizza,Fast,Food,200,50,3.9,136,62,30
ID_8237,"Dockyard Road, Mumbai CST Area","North Indian, Chinese",North,Indian,Chinese,150,50,3.5,50,15,45
ID_1566,"Babarpur, New Delhi, Delhi","North Indian, Chinese",North,Indian,Chinese,150,50,,,,45
ID_7912,"Delhi Administration Flats, Timarpur","Pizza, Beverages",Pizza,Beverages,,350,50,3.3,11,6,30
ID_7544,Pune University,"Desserts, Beverages",Desserts,Beverages,,150,50,3.7,80,38,45
ID_7947,Mumbai Central,"Cafe, Bakery, Desserts",Cafe,Bakery,Desserts,400,50,4.1,3386,2126,45
ID_1182,Mumbai Central,"Fast Food, American",Fast,Food,American,250,50,3.7,52,33,30
ID_5102,Mumbai Central,"Rolls, Kebab",Rolls,Kebab,,150,50,3.4,18,13,30
ID_1840,"MG Road, Pune","Chinese, North Indian, South Indian, Fast Food",Chinese,North,Indian,250,50,3.9,580,317,30
ID_2365,"FTI College, Law College Road, Pune","Fast Food, Bar Food, European",Fast,Food,Bar,800,50,3.7,110,67,30
ID_8073,Delhi Cantt.,"North Indian, Chinese",North,Indian,Chinese,200,50,3.5,15,6,30
ID_1642,"Sector 1, Noida","North Indian, Chinese",North,Indian,Chinese,200,50,3.3,21,8,30
ID_6689,Mumbai Central,"North Indian, Chinese, Mughlai, Fast Food",North,Indian,Chinese,550,50,,,,30
ID_7012,Delhi University-GTB Nagar,"North Indian, Rolls, Beverages",North,Indian,Rolls,300,50,NEW,,,30
ID_3068,"Mico Layout, Stage 2, BTM Layout,Bangalore","Beverages, Juices, Healthy Food",Beverages,Juices,Healthy,100,50,3.6,22,6,30
ID_4708,Mumbai Central,"Bakery, Desserts",Bakery,Desserts,,250,50,,,,30
ID_6353,"FTI College, Law College Road, Pune","South Indian, Chinese",South,Indian,Chinese,100,50,,,,30
ID_3629,"Sector 63A,Gurgaon","North Indian, Italian, Continental, Lebanese, Desserts, Beverages",North,Indian,Italian,200,50,,,,30
ID_4210,Majestic,"Bakery, Desserts",Bakery,Desserts,,200,50,3.8,103,57,65
ID_5970,"Delhi High Court, India Gate",Pizza,Pizza,,,150,50,3.5,38,8,30
ID_4610,"D-Block, Sector 63, Noida","North Indian, Chinese, Mughlai",North,Indian,Chinese,250,50,4.1,334,256,30
ID_3970,Delhi University-GTB Nagar,"Burger, Fast Food",Burger,Fast,Food,200,50,4,1415,351,45
ID_3153,"Sector 3, Marathalli","Healthy Food, Sandwich, Salad, Beverages",Healthy,Food,Sandwich,200,50,3.9,13,11,30
ID_6652,"Mico Layout, Stage 2, BTM Layout,Bangalore","Biryani, North Indian, Andhra, Chinese",Biryani,North,Indian,350,50,4.3,2470,495,65
ID_3116,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, South Indian, Desserts, Street Food, Mithai, Bakery, Chinese",North,Indian,South,250,50,4,246,77,30
ID_8550,"Sector 1, Noida",North Indian,North,Indian,,150,50,3.9,107,82,65
ID_2391,"Rmz Centennial, I Gate, Whitefield","Biryani, North Indian, South Indian, Rolls",Biryani,North,Indian,100,50,3.7,100,8,30
ID_1,"D-Block, Sector 63, Noida","North Indian, Asian, Street Food, Pizza, Burger, Biryani",North,Indian,Asian,400,50,NEW,,,30
ID_6065,"Sector 3, Marathalli","North Indian, Bengali, Chinese",North,Indian,Bengali,250,50,3.8,168,96,30
ID_3127,"D-Block, Sector 63, Noida","North Indian, Chinese",North,Indian,Chinese,200,50,2.9,17,6,65
ID_3946,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Ice Cream, Desserts",Ice,Cream,Desserts,100,50,3.5,61,18,65
ID_596,"Sector 1, Noida","Bakery, Desserts, Fast Food",Bakery,Desserts,Fast,250,99,3.5,42,28,65
ID_5845,Pune University,Healthy Food,Healthy,Food,,150,50,2.8,27,6,45
ID_2728,Delhi University-GTB Nagar,"North Indian, Chinese",North,Indian,Chinese,200,50,3.1,7,,30
ID_941,"FTI College, Law College Road, Pune","Biryani, Kebab, Healthy Food",Biryani,Kebab,Healthy,150,50,3.2,7,,30
ID_6013,"Chandni Chowk, Kolkata","Cafe, Spanish, Italian, Mexican, Salad, Juices",Cafe,Spanish,Italian,250,50,4.1,1307,794,45
ID_1954,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Biryani, Mughlai, Kebab",North,Indian,Biryani,300,50,4.2,208,104,65
ID_2483,"Delhi High Court, India Gate","North Indian, Fast Food, Biryani, Rolls, Wraps",North,Indian,Fast,250,50,4,338,137,65
ID_5790,"Sector 14, Noida","North Indian, Chinese",North,Indian,Chinese,200,50,3.5,62,4,30
ID_5061,"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Chinese",North,Indian,Chinese,100,50,3.6,19,2,30
ID_3248,"Sector 14, Noida",Fast Food,Fast,Food,,200,50,3.5,25,1,45
ID_5400,Majestic,"Pizza, Italian, Fast Food, Beverages, Desserts",Pizza,Italian,Fast,250,50,4.5,2191,1617,45
ID_3983,Pune University,"North Indian, Chinese",North,Indian,Chinese,200,50,3.5,40,17,30
ID_4303,"FTI College, Law College Road, Pune","European, Italian, Fast Food, Salad, Continental, Beverages, Desserts",European,Italian,Fast,400,50,4.7,4617,2340,45
ID_7652,"Mico Layout, Stage 2, BTM Layout,Bangalore","Cafe, Desserts",Cafe,Desserts,,200,99,3.9,167,64,65
ID_8629,"D-Block, Sector 63, Noida",North Indian,North,Indian,,250,50,3.6,100,76,45
ID_5952,"Moulali, Kolkata",Beverages,Beverages,,,150,50,,,,30
ID_6133,"Hyderabad Public School, Begumpet","Bakery, Fast Food",Bakery,Fast,Food,100,50,3.9,148,30,45
ID_4079,"D-Block, Sector 63, Noida",North Indian,North,Indian,,200,50,3.5,36,8,30
ID_7882,"Rmz Centennial, I Gate, Whitefield","North Indian, Chinese, Odia",North,Indian,Chinese,150,50,,,,30
ID_6968,"Mico Layout, Stage 2, BTM Layout,Bangalore","Continental, North Indian",Continental,North,Indian,100,50,NEW,,,30
ID_3186,"Moulali, Kolkata","Sandwich, Fast Food, Beverages",Sandwich,Fast,Food,100,50,NEW,,,30
ID_1926,"Delhi High Court, India Gate","Bakery, Fast Food, Desserts",Bakery,Fast,Food,150,50,3.9,342,177,65
ID_8109,"Moulali, Kolkata","North Indian, Chinese, Bengali",North,Indian,Chinese,150,50,,,,30
ID_6901,"Yerawada, Pune, Maharashtra","Pizza, Italian, Cafe",Pizza,Italian,Cafe,300,50,4,876,364,65
ID_6304,Majestic,South Indian,South,Indian,,100,50,3.4,7,1,30
ID_8141,"Sector 14, Noida","Chinese, North Indian",Chinese,North,Indian,400,50,3.3,53,29,30
ID_627,Mumbai Central,Fast Food,Fast,Food,,200,50,3.9,127,46,45
ID_5766,"Delhi Administration Flats, Timarpur","Burger, Sandwich, Pizza, Chinese, Beverages",Burger,Sandwich,Pizza,200,50,,,,30
ID_7009,Pune University,Chinese,Chinese,,,150,50,3.6,39,3,45
ID_399,"Rmz Centennial, I Gate, Whitefield",Andhra,Andhra,,,200,50,2.9,4,1,20
ID_3793,Mumbai Central,"Pizza, Italian, Fast Food",Pizza,Italian,Fast,300,99,4,352,130,45
ID_6223,"Mico Layout, Stage 2, BTM Layout,Bangalore","Rolls, North Indian",Rolls,North,Indian,200,50,NEW,,,30
ID_4161,"Sector 14, Noida",North Indian,North,Indian,,150,50,3.1,5,1,30
ID_1922,"FTI College, Law College Road, Pune","Fast Food, Beverages",Fast,Food,Beverages,100,50,,,,30
ID_2383,"Mico Layout, Stage 2, BTM Layout,Bangalore","Pizza, Italian",Pizza,Italian,,200,50,3.7,71,32,30
ID_1786,"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Chinese, Street Food",North,Indian,Chinese,250,50,3.7,14,6,30
ID_5071,Mumbai Central,"North Indian, Chinese, Lebanese",North,Indian,Chinese,200,50,NEW,,,30
ID_3493,"D-Block, Sector 63, Noida","North Indian, Chinese",North,Indian,Chinese,150,50,3.3,11,6,30
ID_5964,Mumbai Central,North Indian,North,Indian,,250,50,4,353,176,30
ID_919,"Sector 1, Noida","North Indian, Biryani",North,Indian,Biryani,250,50,4.1,299,142,65
ID_5344,"D-Block, Sector 63, Noida",North Indian,North,Indian,,100,50,3.6,162,40,45
ID_6582,"Babarpur, New Delhi, Delhi","North Indian, Chinese, Rolls, Momos",North,Indian,Chinese,250,50,4.1,35,23,30
ID_1913,"FTI College, Law College Road, Pune",Bakery,Bakery,,,200,50,NEW,,,30
ID_5130,"Raja Bazar, Kolkata","Mishti, South Indian, Street Food",Mishti,South,Indian,100,50,3.4,19,,30
ID_155,"Delhi Administration Flats, Timarpur","North Indian, Chinese, Continental, Momos",North,Indian,Chinese,450,50,4.2,1626,1031,65
ID_6155,"Sandhurst Road, Mumbai CST Area",Continental,Continental,,,550,50,3.9,927,290,45
ID_6170,"Delhi High Court, India Gate","South Indian, Chinese, Fast Food, North Indian",South,Indian,Chinese,150,50,3.5,53,23,65
ID_5216,Mumbai Central,"North Indian, Chinese, Fast Food, South Indian",North,Indian,Chinese,200,50,3.6,67,29,30
ID_1861,Pune University,"North Indian, Fast Food",North,Indian,Fast,150,50,2.6,20,2,30
ID_5042,"D-Block, Sector 63, Noida",North Indian,North,Indian,,150,50,3.4,14,8,30
ID_3634,"Rmz Centennial, I Gate, Whitefield",North Indian,North,Indian,,200,50,3.9,30,23,30
ID_3632,"Delhi Administration Flats, Timarpur","Fast Food, Healthy Food, Beverages",Fast,Food,Healthy,200,50,3.5,14,10,30
ID_3083,"Sector 14, Noida","North Indian, Fast Food",North,Indian,Fast,100,50,3.5,17,4,30
ID_1997,"Yerawada, Pune, Maharashtra",North Indian,North,Indian,,200,50,3,35,8,45
ID_5400,"Nathan Road, Mangaldas Road, Pune","Pizza, Italian, Fast Food, Desserts",Pizza,Italian,Fast,300,50,4.8,3577,2640,45
ID_2253,"Rmz Centennial, I Gate, Whitefield","North Indian, Mughlai",North,Indian,Mughlai,300,99,3.9,296,148,45
ID_6826,"D-Block, Sector 63, Noida","Mithai, Street Food",Mithai,Street,Food,100,50,3.5,12,4,30
